TAGGABLE_TYPE,TAGGABLE_ID,ATTRIBUTE_TAG,VALUE_TAG
Lemma,64689,ANIMACY,human
Lemma,64706,ANIMACY,human
Lemma,64707,ANIMACY,human
Lemma,64711,ANIMACY,place
Lemma,64719,ANIMACY,human
Lemma,64726,ANIMACY,human
Lemma,64728,ANIMACY,human
Lemma,64994,ANIMACY,human
Lemma,64999,ANIMACY,place
Lemma,65000,ANIMACY,place
Lemma,65006,ANIMACY,place
Lemma,65007,ANIMACY,place
Lemma,65009,ANIMACY,place
Lemma,65010,ANIMACY,place
Lemma,65020,ANIMACY,place
Lemma,65031,ANIMACY,place
Lemma,65037,ANIMACY,place
Lemma,65052,ANIMACY,place
Lemma,65169,ANIMACY,human
Lemma,65173,ANIMACY,place
Lemma,65174,ANIMACY,place
Lemma,65177,ANIMACY,place
Lemma,65179,ANIMACY,human
Lemma,65254,ANIMACY,human
Lemma,65273,ANIMACY,human
Lemma,65343,ANIMACY,place
Lemma,65394,ANIMACY,human
Lemma,65583,ANIMACY,human
Lemma,65615,ANIMACY,human
Lemma,65729,ANIMACY,place
Lemma,65795,ANIMACY,place
Lemma,65796,ANIMACY,human
Lemma,65797,ANIMACY,human
Lemma,65798,ANIMACY,human
Lemma,65820,ANIMACY,human
Lemma,65829,ANIMACY,human
Lemma,65834,ANIMACY,place
Lemma,65836,ANIMACY,place
Lemma,66037,ANIMACY,human
Lemma,66079,ANIMACY,human
Lemma,66080,ANIMACY,human
Lemma,66081,ANIMACY,human
Lemma,66357,ANIMACY,human
Lemma,66359,ANIMACY,human
Lemma,66360,ANIMACY,human
Lemma,66655,ANIMACY,human
Lemma,66678,ANIMACY,place
Lemma,66694,ANIMACY,human
Lemma,66695,ANIMACY,human
Lemma,66718,ANIMACY,place
Lemma,66747,ANIMACY,human
Lemma,66815,ANIMACY,human
Lemma,66946,ANIMACY,place
Lemma,66947,ANIMACY,human
Lemma,66948,ANIMACY,human
Lemma,66949,ANIMACY,human
Lemma,67082,ANIMACY,human
Lemma,67083,ANIMACY,human
Lemma,67272,ANIMACY,human
Lemma,67307,ANIMACY,human
Lemma,67308,ANIMACY,human
Lemma,67333,ANIMACY,place
Lemma,67335,ANIMACY,human
Lemma,67368,ANIMACY,place
Lemma,67427,ANIMACY,human
Lemma,67432,ANIMACY,place
Lemma,67433,ANIMACY,human
Lemma,67434,ANIMACY,human
Lemma,67435,ANIMACY,human
Lemma,67437,ANIMACY,human
Lemma,67860,ANIMACY,human
Lemma,68146,ANIMACY,human
Lemma,68149,ANIMACY,human
Lemma,68154,ANIMACY,human
Lemma,68155,ANIMACY,human
Lemma,68157,ANIMACY,human
Lemma,68176,ANIMACY,human
Lemma,68203,ANIMACY,human
Lemma,68205,ANIMACY,human
Lemma,68234,ANIMACY,human
Lemma,68235,ANIMACY,place
Lemma,68241,ANIMACY,human
Lemma,68243,ANIMACY,human
Lemma,68244,ANIMACY,human
Lemma,68245,ANIMACY,human
Lemma,68246,ANIMACY,human
Lemma,67287,SUFFIX,ov
Lemma,69598,SUFFIX,in
Lemma,65840,SUFFIX,ov
Lemma,64517,SUFFIX,ov
Lemma,60142,SUFFIX,ov
Lemma,66186,SUFFIX,ov
Lemma,65822,SUFFIX,ov
Lemma,59032,SUFFIX,ij
Lemma,66064,SUFFIX,n
Lemma,68086,SUFFIX,in
Lemma,58878,SUFFIX,j
Lemma,68252,SUFFIX,n
Lemma,68754,SUFFIX,n
Lemma,66761,SUFFIX,n
Lemma,66788,SUFFIX,n
Lemma,68262,SUFFIX,sk
Lemma,58913,SUFFIX,sk
Lemma,69757,SUFFIX,in
Lemma,68082,SUFFIX,sk
Lemma,68291,SUFFIX,sk
Lemma,66828,SUFFIX,n
Lemma,58991,SUFFIX,nj
Lemma,64435,SUFFIX,sk
Lemma,67799,SUFFIX,n
Lemma,64608,SUFFIX,sk
Lemma,58900,SUFFIX,sk
Lemma,69104,SUFFIX,sk
Lemma,67754,SUFFIX,ov
Lemma,69349,SUFFIX,n
Lemma,68178,SUFFIX,sk
Lemma,68359,SUFFIX,n
Lemma,67639,SUFFIX,in
Lemma,59058,SUFFIX,ov
Lemma,66254,SUFFIX,n
Lemma,67388,SUFFIX,sk
Lemma,69597,SUFFIX,n
Lemma,69646,SUFFIX,ov
Lemma,65647,SUFFIX,in
Lemma,67608,SUFFIX,in
Lemma,59034,SUFFIX,ov
Lemma,68635,SUFFIX,in
Lemma,65709,SUFFIX,sk
Lemma,65901,SUFFIX,ov
Lemma,69209,SUFFIX,in
Lemma,64588,SUFFIX,ov
Lemma,69118,SUFFIX,in
Lemma,65049,SUFFIX,sk
Lemma,65914,SUFFIX,ov
Lemma,66211,SUFFIX,ov
Lemma,59924,SUFFIX,n
Lemma,65434,SUFFIX,sk
